"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"312","Lowell, Massachusetts",1879,2559,1540,236,0,NA,54,44,1997,57620
"313","New York, New York",1880,68477,44292,6149,NA,NA,2519,2241,NA,1206299
"314","Philadelphia, Pennsylvania",1880,44315,32846,3152,28,NA,1379,1200,76668,847170
"315","Brooklyn, New York",1880,26785,12266,1764,43,6729,630,504,23206,566663
"316","Chicago, Illinois",1880,28480,14294,1705,12,10253,473,390,13172,503185
"317","Boston, Massachusetts",1880,24884,17329,1468,11,NA,697,577,26856,362839
"318","Baltimore, Maryland",1880,22021,12072,551,27,6446,594,500,13041,332313
"319","St. Louis, Missouri",1880,14160,7933,1101,16,NA,481,401,NA,350518
"320","Cincinnati, Ohio",1880,14592,4160,7076,14,NA,343,272,40046,255139
"321","San Francisco, California",1880,21063,9458,167,35,NA,340,NA,NA,233959
"322","Cleveland, Ohio",1880,7432,4095,384,7,810,161,123,1237,160146
"323","Buffalo, New York",1880,9012,2660,1047,3,492,193,121,3203,155134
"324","Washington, DC",1880,13558,5819,1150,10,6188,238,175,7461,147293
"325","Newark, New Jersey",1880,5042,2668,277,3,1158,164,147,16171,136508
"326","Louisville, Kentucky",1880,4712,2161,120,20,NA,141,96,NA,123758
"327","Detroit, Michigan",1880,4284,1634,209,11,717,178,134,8810,116340
"328","Milwaukee, Wisconsin",1880,3141,NA,NA,1,NA,87,75,1689,115587
"329","Providence, Rhode Island",1880,6506,4600,491,1,2004,172,145,NA,104857
"330","Rochester, New York",1880,NA,NA,NA,NA,NA,NA,NA,NA,89366
"331","Richmond, Virginia",1880,3946,1239,156,3,NA,84,66,417,63600
"332","New Haven, Connecticut",1880,4611,3206,76,0,NA,84,81,776,62882
"333","Lowell, Massachusetts",1880,2776,1803,169,0,NA,58,46,1252,59475
"334","New York, New York",1881,67135,42612,5795,NA,NA,NA,NA,NA,1237200
"335","Philadelphia, Pennsylvania",1881,45129,33297,3252,31,NA,NA,NA,79620,867149
"336","Brooklyn, New York",1881,28889,15242,1922,28,NA,639,509,21891,590631
